~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Running OptimTraj, iteration 1
  -> Transcription via trapezoid method, nGrid = 10

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0      53    2.000000e+00    4.320e+00    8.692e-03
    1     106    1.652958e-01    1.490e+00    2.739e-01    1.683e+01
    2     159    2.461865e-01    1.456e+00    1.100e+00    9.010e+01
    3     212    2.476938e-01    1.456e+00    1.106e+00    4.902e-01
    4     265    2.737606e-01    1.445e+00    1.215e+00    1.130e+01
    5     318    3.259742e-01    1.413e+00    1.412e+00    1.903e+01
    6     371    3.395793e-01    1.406e+00    1.441e+00    5.432e+00
    7     424    3.632439e-01    1.391e+00    1.495e+00    9.313e+00
    8     477    3.720898e-01    1.387e+00    1.515e+00    3.913e+00
    9     530    3.816761e-01    1.382e+00    1.535e+00    5.561e+00
   10     583    3.822331e-01    1.382e+00    1.536e+00    3.876e-01
   11     636    4.143571e-01    1.361e+00    1.583e+00    1.708e+01
   12     689    5.105009e-01    1.353e+00    1.748e+00    7.758e+00
   13     742    5.132743e-01    1.351e+00    1.755e+00    3.164e-01
   14     795    4.882226e-01    1.392e+00    8.078e-04    2.184e+00
   15     848    4.887269e-01    1.392e+00    2.734e-03    1.243e-01
   16     901    4.916879e-01    1.390e+00    1.915e-02    3.127e-01
   17     954    5.545769e-01    9.226e-01    3.612e-02    1.656e+01
   18    1007    5.810516e-01    9.555e-01    4.218e-02    2.779e+01
   19    1060    5.810824e-01    9.554e-01    4.218e-02    7.762e-03
   20    1113    5.862516e-01    9.529e-01    4.745e-02    3.250e+00
   21    1166    6.239384e-01    9.309e-01    4.133e-01    2.345e+01
   22    1219    6.241660e-01    9.308e-01    4.155e-01    1.297e-01
   23    1272    6.282042e-01    9.290e-01    4.323e-01    8.052e-01
   24    1325    6.415830e-01    9.232e-01    4.898e-01    2.732e+00
   25    1378    6.417554e-01    9.230e-01    4.903e-01    1.874e-02
   26    1431    6.565825e-01    9.122e-01    5.154e-01    1.127e+00
   27    1486    9.322253e-01    6.956e-01    1.001e+00    2.420e+01
   28    1541    1.094789e+00    6.456e-01    1.317e+00    2.373e+01
   29    1597    1.193920e+00    6.181e-01    1.553e+00    9.702e+00
   30    1650    1.248921e+00    6.058e-01    1.708e+00    5.222e+00

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31    1703    1.249173e+00    6.057e-01    1.709e+00    2.814e-02
   32    1758    1.310731e+00    5.873e-01    1.917e+00    6.258e+00
   33    1813    1.341012e+00    5.934e-01    2.013e+00    4.235e+00
   34    1866    1.347029e+00    5.932e-01    2.031e+00    1.005e+00
   35    1919    1.359053e+00    5.939e-01    2.063e+00    2.009e+00
   36    1974    1.371515e+00    5.948e-01    2.093e+00    2.105e+00
   37    2028    1.388102e+00    5.966e-01    2.125e+00    2.949e+00
   38    2081    1.346498e+00    6.061e-01    2.039e+00    7.288e+00
   39    2135    1.384163e+00    6.156e-01    2.121e+00    5.471e+00
   40    2188    1.491742e+00    5.982e-01    2.209e+00    2.202e+01
   41    2241    1.582511e+00    6.210e-01    2.240e+00    1.282e+01
   42    2294    1.582976e+00    6.208e-01    2.241e+00    7.127e-02
   43    2347    1.619865e+00    5.959e-01    2.353e+00    5.367e+00
   44    2400    1.620074e+00    5.957e-01    2.353e+00    3.329e-02
   45    2453    1.621361e+00    5.940e-01    2.356e+00    2.722e-01
   46    2507    1.880671e+00    3.717e-01    2.474e+00    4.951e+01
   47    2560    1.912847e+00    1.458e-02    2.613e+00    1.096e+01
   48    2613    1.913049e+00    7.237e-05    2.611e+00    5.999e-01
   49    2666    1.913228e+00    1.041e-06    2.609e+00    1.462e-01
   50    2720    1.913647e+00    6.106e-08    2.600e+00    6.699e-01
   51    2783    1.914215e+00    7.076e-08    7.756e-03    7.423e-01
   52    2836    1.914639e+00    2.653e-05    7.763e-03    6.171e-01
   53    2889    1.916752e+00    6.652e-04    1.515e-02    3.081e+00
   54    2942    1.918914e+00    6.952e-04    2.807e-02    3.165e+00
   55    2995    1.923521e+00    3.182e-03    5.573e-02    6.771e+00
   56    3048    1.924626e+00    1.902e-04    6.229e-02    1.682e+00
   57    3101    1.925331e+00    6.755e-05    6.631e-02    1.018e+00
   58    3154    1.925670e+00    9.714e-06    6.786e-02    4.328e-01
   59    3207    1.926143e+00    8.280e-06    6.873e-02    4.907e-01
   60    3260    1.927627e+00    9.182e-05    6.947e-02    1.559e+00

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   61    3313    1.931656e+00    6.881e-04    7.812e-02    4.311e+00
   62    3366    1.938388e+00    2.848e-03    1.010e-01    7.779e+00
   63    3419    1.947104e+00    4.758e-03    1.278e-01    9.496e+00
   64    3472    1.949949e+00    3.703e-04    1.349e-01    2.517e+00
   65    3525    1.950482e+00    8.027e-06    1.364e-01    4.332e-01
   66    3578    1.951213e+00    6.191e-05    1.391e-01    9.182e-01
   67    3631    1.952500e+00    1.618e-04    1.439e-01    1.542e+00
   68    3684    1.953541e+00    4.552e-05    1.473e-01    9.921e-01
   69    3737    1.953946e+00    5.163e-06    1.486e-01    3.551e-01
   70    3790    1.954148e+00    1.241e-06    1.492e-01    1.845e-01
   71    3843    1.954241e+00    1.325e-06    1.496e-01    1.479e-01
   72    3896    1.954080e+00    3.659e-06    1.497e-01    1.836e-01
   73    3949    1.952750e+00    7.461e-05    1.489e-01    5.795e-01
   74    4002    1.946049e+00    1.591e-03    1.440e-01    2.611e+00
   75    4055    1.921578e+00    2.299e-02    1.299e-01    9.548e+00
   76    4108    1.909289e+00    3.754e-03    1.275e-01    4.340e+00
   77    4161    1.882705e+00    2.139e-02    1.215e-01    8.806e+00
   78    4214    1.816172e+00    1.089e-01    1.431e-01    1.889e+01
   79    4267    1.765138e+00    5.189e-02    1.658e-01    1.184e+01
   80    4320    1.731162e+00    3.635e-02    1.897e-01    9.698e+00
   81    4373    1.639522e+00    3.027e-01    2.378e-01    2.348e+01
   82    4426    1.610553e+00    5.607e-02    2.484e-01    9.603e+00
   83    4479    1.529996e+00    3.950e-01    2.852e-01    2.483e+01
   84    4532    1.546319e+00    5.840e-03    2.725e-01    5.154e+00
   85    4585    1.536123e+00    9.147e-03    2.816e-01    5.001e+00
   86    4638    1.532973e+00    2.101e-03    2.885e-01    6.543e+00
   87    4691    1.531391e+00    1.511e-03    2.988e-01    8.340e+00
   88    4744    1.530337e+00    2.395e-04    3.085e-01    2.978e+00
   89    4797    1.529847e+00    8.962e-06    3.096e-01    3.723e-01
   90    4850    1.529074e+00    1.319e-05    3.105e-01    6.452e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91    4903    1.528644e+00    4.289e-06    3.109e-01    3.754e-01
   92    4956    1.528578e+00    9.481e-08    3.109e-01    5.028e-02
   93    5009    1.528567e+00    9.472e-09    3.110e-01    3.379e-03
